order_id,customer_id,order_date,delivery_date,product_category,order_value,payment_method,customer_segment,country,account_age_days,total_orders_lifetime,delivery_days,has_return,return_reason,days_to_return,refund_amount,refund_frequency_30d,is_fraud,fraud_type
ORD_0033554,CUST_00351,2022-04-25,2022-04-26,home,40.73,debit_card,regular,CA,57,11,1,0,,,0.0,0,0,
ORD_0009428,CUST_01185,2023-05-18,2023-05-27,beauty,24.02,debit_card,budget,US,3043,11,9,0,,,0.0,1,0,
ORD_0000200,CUST_00941,2024-01-09,2024-01-16,home,23.92,credit_card,regular,IN,454,7,7,1,not_as_described,23.0,14.17,1,0,
ORD_0012448,CUST_01798,2022-01-19,2022-02-01,beauty,55.76,credit_card,premium,IN,806,12,13,0,,,0.0,1,0,
ORD_0039490,CUST_00371,2022-10-20,2022-10-24,electronics,455.37,debit_card,budget,DE,2824,10,4,0,,,0.0,1,0,
ORD_0042725,CUST_00874,2022-11-17,2022-11-22,clothing,45.76,paypal,vip,US,1867,16,5,0,,,0.0,0,0,
ORD_0010823,CUST_00278,2024-09-05,2024-09-17,clothing,32.99,credit_card,budget,IN,3350,7,12,0,,,0.0,0,0,
ORD_0049499,CUST_01551,2022-09-15,2022-09-25,electronics,282.95,debit_card,regular,US,1291,10,10,0,,,0.0,0,0,
ORD_0004145,CUST_00599,2022-12-06,2022-12-11,beauty,31.09,credit_card,budget,US,3415,9,5,0,,,0.0,0,0,
ORD_0036959,CUST_01470,2023-04-27,2023-04-29,beauty,28.7,credit_card,regular,US,3010,14,2,1,defective,9.0,24.65,1,0,
ORD_0043107,CUST_01879,2023-06-17,2023-06-30,electronics,230.62,credit_card,budget,UK,3607,5,13,0,,,0.0,0,0,
ORD_0038696,CUST_00575,2022-07-13,2022-07-19,beauty,28.9,credit_card,regular,DE,3518,12,6,1,wrong_size,13.0,25.14,1,0,
ORD_0006189,CUST_00881,2024-01-12,2024-01-18,clothing,89.75,crypto,premium,AU,1958,17,6,1,wrong_size,4.0,87.17,2,0,
ORD_0001415,CUST_00609,2023-07-12,2023-07-16,sports,45.3,credit_card,regular,DE,2559,8,4,0,,,0.0,0,0,
ORD_0018472,CUST_01258,2022-11-29,2022-12-02,home,56.24,debit_card,regular,UK,697,12,3,0,,,0.0,0,0,
ORD_0029283,CUST_00029,2024-09-29,2024-09-30,sports,269.65,apple_pay,regular,FR,1352,14,1,0,,,0.0,2,0,
ORD_0015178,CUST_01222,2022-10-27,2022-11-05,clothing,42.7,paypal,premium,DE,3088,8,9,0,,,0.0,0,0,
ORD_0034305,CUST_00203,2023-01-08,2023-01-20,home,21.33,credit_card,premium,US,1712,13,12,0,,,0.0,0,0,
ORD_0012610,CUST_00905,2024-05-17,2024-05-28,clothing,39.96,credit_card,premium,UK,2101,15,11,0,,,0.0,1,0,
ORD_0012145,CUST_00591,2023-10-30,2023-11-03,electronics,105.96,credit_card,budget,UK,3011,12,4,0,,,0.0,0,0,
ORD_0006114,CUST_01594,2022-04-10,2022-04-15,sports,55.73,debit_card,regular,US,3358,13,5,0,,,0.0,0,0,
